correctness,style,response_time,model_name,temperature,difficulty
0.0,0.8,0.5421836716788155,qwen3:8b,0.3,easy
0.0,0.4,0.5054835762296404,qwen3:8b,0.3,medium
0.9,0.9,0.11307677200862343,qwen3:8b,0.3,easy
0.0,0.8,0.46881839207240517,qwen3:8b,0.3,medium
0.0,0.9,0.011064580508640787,qwen3:8b,0.3,medium
0.2,0.35,0.11174169608524864,qwen3:8b,0.3,hard
0.5,0.1,0.0,qwen3:8b,0.3,hard
0.5,0.9,0.4445966141564506,qwen3:8b,0.3,medium
0.3,0.2,0.3887691838400704,qwen3:8b,0.3,easy
1.0,0.3,0.0,qwen3:8b,0.3,easy
0.0,0.95,0.0,qwen3:8b,0.3,medium
0.8,0.3,0.0,qwen3:8b,0.3,easy
1.0,0.7,0.0,qwen3:8b,0.3,hard
0.9,0.4,0.286742125238691,qwen3:8b,0.3,easy
0.2,0.8,0.25985760348183773,qwen3:8b,0.3,medium
0.9,0.9,0.0,qwen3:8b,0.3,hard
0.9,0.8,0.0,qwen3:8b,0.3,hard
0.5,0.4,0.3848324332918439,qwen3:8b,0.3,hard
