correctness,style,response_time,model_name,temperature,difficulty
0.0,0.3,0.8830792733601162,granite3.2:2b,0.3,medium
1.0,0.4,0.8485971859523228,granite3.2:2b,0.3,easy
0.1,0.9,0.8537784474236625,granite3.2:2b,0.3,medium
0.0,0.2,0.8626299245016915,granite3.2:2b,0.3,easy
0.5,0.9,0.8504020316260201,granite3.2:2b,0.3,medium
0.3,0.9,0.6173325436455863,granite3.2:2b,0.3,easy
0.7,0.4,0.909279635974339,granite3.2:2b,0.3,hard
0.1,0.8,0.7425222907747542,granite3.2:2b,0.3,medium
0.9,0.9,0.7156543731689453,granite3.2:2b,0.3,easy
1.0,0.3,0.8497769832611084,granite3.2:2b,0.3,hard
0.0,0.8,0.6609104701450893,granite3.2:2b,0.3,hard
0.8,0.9,0.79522362777165,granite3.2:2b,0.3,easy
0.0,0.75,0.6849764244897025,granite3.2:2b,0.3,medium
0.8,0.4,0.7302985191345215,granite3.2:2b,0.3,easy
0.0,0.9,0.6738991907664708,granite3.2:2b,0.3,medium
0.6,0.9,0.6934692348752702,granite3.2:2b,0.3,hard
0.2,0.9,0.5822197369166783,granite3.2:2b,0.3,hard
0.0,0.3,0.7335889339447021,granite3.2:2b,0.3,hard
