correctness,style,response_time,model_name,temperature,difficulty
0.0,0.1,0.8781250204358783,granite3.3:2b,0.3,easy
0.0,0.1,0.8836281810488019,granite3.3:2b,0.3,medium
1.0,0.2,0.8932082823344639,granite3.3:2b,0.3,medium
1.0,0.3,0.9006971120834351,granite3.3:2b,0.3,easy
0.95,0.8,0.849122473171779,granite3.3:2b,0.3,easy
0.4,0.2,0.8757506779261998,granite3.3:2b,0.3,easy
0.1,0.2,0.9084677015032087,granite3.3:2b,0.3,hard
0.5,0.4,0.8871353353772845,granite3.3:2b,0.3,hard
0.1,0.8,0.8700299263000488,granite3.3:2b,0.3,medium
0.1,0.5,0.7334198781422206,granite3.3:2b,0.3,easy
0.3,0.2,0.7760336058480399,granite3.3:2b,0.3,medium
0.1,0.9,0.7931881632123674,granite3.3:2b,0.3,easy
0.0,0.9,0.7294848135539463,granite3.3:2b,0.3,hard
0.0,0.8,0.6811549833842686,granite3.3:2b,0.3,hard
0.0,0.4,0.8356638635907854,granite3.3:2b,0.3,medium
0.0,0.7,0.8245287111827305,granite3.3:2b,0.3,medium
0.0,0.85,0.7509082726069859,granite3.3:2b,0.3,hard
0.0,0.9,0.6864205598831177,granite3.3:2b,0.3,hard
