id,model_name,Metric,Score
1,granite3.2:2b,correctness,0.6666666666666666
8,granite3.2:2b,response_time,0.759701961562747
7,granite3.2:2b,response_time,0.7709526788620722
5,granite3.2:2b,response_time,0.671263371195112
15,granite3.2:2b,style,0.5
4,granite3.2:2b,response_time,0.7330790304002308
3,granite3.2:2b,response_time,0.6147811469577608
2,granite3.2:2b,response_time,0.6815161988848732
1,granite3.2:2b,response_time,0.7652810187566849
9,granite3.2:2b,response_time,0.7594719727834066
18,granite3.2:2b,correctness,0.0
16,granite3.2:2b,style,1.0
16,granite3.2:2b,correctness,0.0
15,granite3.2:2b,correctness,0.0
14,granite3.2:2b,correctness,1.0
13,granite3.2:2b,correctness,0.3333333333333333
12,granite3.2:2b,correctness,1.0
11,granite3.2:2b,correctness,0.8333333333333334
17,granite3.2:2b,style,0.8333333333333334
17,granite3.2:2b,correctness,0.0
10,granite3.2:2b,response_time,0.6154765344801404
11,granite3.2:2b,response_time,0.4639222565151396
14,granite3.2:2b,style,0.8333333333333334
10,granite3.2:2b,style,1.0
9,granite3.2:2b,style,0.8333333333333334
8,granite3.2:2b,style,1.0
7,granite3.2:2b,style,0.8333333333333334
6,granite3.2:2b,style,1.0
12,granite3.2:2b,style,0.8333333333333334
5,granite3.2:2b,style,1.0
4,granite3.2:2b,style,0.8333333333333334
3,granite3.2:2b,style,0.8333333333333334
2,granite3.2:2b,style,0.8333333333333334
1,granite3.2:2b,style,0.6666666666666666
18,granite3.2:2b,response_time,0.7750380550112044
13,granite3.2:2b,style,0.8333333333333334
17,granite3.2:2b,response_time,0.7236922127859934
16,granite3.2:2b,response_time,0.7542741752806164
15,granite3.2:2b,response_time,0.8470990998404367
14,granite3.2:2b,response_time,0.6236813919884817
13,granite3.2:2b,response_time,0.6252494936897642
12,granite3.2:2b,response_time,0.5774123214540027
10,granite3.2:2b,correctness,0.0
9,granite3.2:2b,correctness,0.0
6,granite3.2:2b,response_time,0.7155963750112625
11,granite3.2:2b,style,0.6666666666666666
4,granite3.2:2b,correctness,0.0
18,granite3.2:2b,style,1.0
5,granite3.2:2b,correctness,0.0
3,granite3.2:2b,correctness,0.6666666666666666
2,granite3.2:2b,correctness,0.5
7,granite3.2:2b,correctness,0.0
8,granite3.2:2b,correctness,0.8333333333333334
6,granite3.2:2b,correctness,0.0
10,granite3.3:2b,style,1.0
18,granite3.3:2b,response_time,0.7715594825290498
5,granite3.3:2b,response_time,0.826608521597726
1,granite3.3:2b,style,0.5
4,granite3.3:2b,response_time,0.8697059381575811
15,granite3.3:2b,style,1.0
2,granite3.3:2b,style,1.0
3,granite3.3:2b,response_time,0.7938261032104492
11,granite3.3:2b,style,0.8333333333333334
17,granite3.3:2b,style,1.0
3,granite3.3:2b,style,0.8333333333333334
1,granite3.3:2b,response_time,0.7863454251062302
6,granite3.3:2b,correctness,0.0
4,granite3.3:2b,style,0.8333333333333334
18,granite3.3:2b,correctness,0.0
12,granite3.3:2b,style,0.6666666666666666
17,granite3.3:2b,correctness,0.0
2,granite3.3:2b,response_time,0.8813766638437907
2,granite3.3:2b,correctness,0.0
6,granite3.3:2b,response_time,0.8307017655599686
3,granite3.3:2b,correctness,0.5
13,granite3.3:2b,response_time,0.8631321816217331
14,granite3.3:2b,response_time,0.8641070638384138
12,granite3.3:2b,response_time,0.8629658506030129
4,granite3.3:2b,correctness,0.0
15,granite3.3:2b,response_time,0.8500962314151582
11,granite3.3:2b,response_time,0.8276086761837913
14,granite3.3:2b,style,0.6666666666666666
9,granite3.3:2b,correctness,0.0
10,granite3.3:2b,response_time,0.899162388983227
9,granite3.3:2b,response_time,0.8863095272155035
13,granite3.3:2b,style,0.6666666666666666
8,granite3.3:2b,response_time,0.8569191921324957
