id,correctness,style,response_time,model_name,temperature,difficulty
8,0.0,1.0,0.6726028067725045,qwen3:1.7b,0.3,easy
4,0.0,1.0,0.8182221310479301,qwen3:1.7b,0.3,easy
6,0.0,1.0,0.8225865704672677,qwen3:1.7b,0.3,medium
2,0.0,1.0,0.5779930182865688,qwen3:1.7b,0.3,hard
5,0.0,1.0,0.8283123118536813,qwen3:1.7b,0.3,medium
3,0.7,0.9,0.5085130759647915,qwen3:1.7b,0.3,easy
7,0.2,1.0,0.6792935473578317,qwen3:1.7b,0.3,easy
9,0.0,1.0,0.7410652807780674,qwen3:1.7b,0.3,medium
15,0.0,1.0,0.7017233371734619,qwen3:1.7b,0.3,medium
12,0.7,1.0,0.5989042009626115,qwen3:1.7b,0.3,easy
13,0.1,1.0,0.5980356250490462,qwen3:1.7b,0.3,hard
10,0.1,0.9,0.4514600549425397,qwen3:1.7b,0.3,medium
1,0.5,1.0,0.2638858045850482,qwen3:1.7b,0.3,hard
11,0.8,1.0,0.36082885946546284,qwen3:1.7b,0.3,easy
14,1.0,0.0,0.6193879502160209,qwen3:1.7b,0.3,hard
17,0.9,1.0,0.7842667273112706,qwen3:1.7b,0.3,hard
16,0.2,1.0,0.8238625015531267,qwen3:1.7b,0.3,hard
18,0.4,1.0,0.9187614917755127,qwen3:1.7b,0.3,hard
