id,correctness,style,response_time,model_name,temperature,difficulty
5,0.0,1.0,0.49810150691441124,qwen3:8b,0.3,medium
4,0.0,1.0,0.5682191167558943,qwen3:8b,0.3,easy
6,0.0,1.0,0.45728492736816406,qwen3:8b,0.3,medium
8,1.0,1.0,0.3745029483522687,qwen3:8b,0.3,easy
7,1.0,1.0,0.2835780211857387,qwen3:8b,0.3,easy
1,0.5,0.5,0.0,qwen3:8b,0.3,hard
12,1.0,1.0,0.0,qwen3:8b,0.3,easy
10,0.0,1.0,0.20390285764421734,qwen3:8b,0.3,medium
15,0.0,1.0,0.0,qwen3:8b,0.3,medium
9,0.4,1.0,0.39645934104919434,qwen3:8b,0.3,medium
11,0.6,1.0,0.0,qwen3:8b,0.3,easy
3,0.4,0.2,0.5060998371669224,qwen3:8b,0.3,easy
14,1.0,1.0,0.0,qwen3:8b,0.3,hard
13,0.5,1.0,0.0,qwen3:8b,0.3,hard
18,0.6,1.0,0.39735497747148785,qwen3:8b,0.3,hard
2,0.0,0.8,0.4078906944819859,qwen3:8b,0.3,hard
16,0.0,1.0,0.2542932885033744,qwen3:8b,0.3,medium
17,0.6,1.0,0.0320548330034528,qwen3:8b,0.3,hard
